ExternalId,DocumentId,Segment ID,Name,Usage,Length,Start At,Description
1,3,1,SOURCE,M,20,4,
2,3,1,STANDARD,M,1,24,
3,3,1,VERSION,M,12,25,
4,3,1,TYPEDOCUMENT,M,6,37,
5,3,1,MODE,M,1,43,
6,3,2,NUMEROFACTURE,M,22,20,Invoice Number
7,3,2,DATEFACTURE,M,8,42,Date
8,3,2,UNITEMONETAIRE,O,3,50,Currency Code
9,3,2,TOTALFACTURE,M,15,53,Amount
10,3,2,MONTANTSUJETESCOMPTE,O,15,68,Amount
11,3,2,TRANSPORTEUR,O,35,83,Routing
12,3,2,BILLOFLADING,O,30,118,Reference Identification
13,3,2,NUMEROPO,O,22,148,Purchase Order Number
14,3,2,DATEPO,O,8,170,Date
15,3,2,TYPETRANSACTION,O,2,178,Transaction Type Code
16,3,2,SCAC_CODE,O,4,180,Standard Carrier Alpha Code
17,3,2,CODEMETHODETRANSPORT,O,2,184,Transportation Method/Type Code
18,3,2,CHANGESEQUENCECOMMANDE,O,8,186,Change Order Sequence Number
19,3,2,CODEBUTTRANSACTION,O,2,194,Transaction Set Purpose Code
20,3,2,CODEACTION,O,2,196,Action Code
21,3,2,NOFACTURECONSOLIDATION,O,22,198,Invoice Number
22,3,2,CODESTATUTLIVRAISON,O,2,220,Shipment/Order Status Code
23,3,2,MONTANTAPRÈSESCOMPTE,O,15,222,Amount
24,3,2,NUMERORELACHE,O,30,237,Release Number
25,3,2,NUMEROEQUIPEMENT,O,10,267,Equipment Number
26,3,2,BUSINESSPARTNERTRANSPCODE,O,80,277,Routing
27,3,3,MESSAGES,M,60,20,Description
28,3,3,MESSAGETYPE,O,2,80,Note Reference Code
29,3,4,TYPEREFERENCE,M,3,20,Reference Identification Qualifier
30,3,4,REFERENCE,M,30,23,Reference Identification
31,3,4,DESCRIPTION,O,80,53,Description
32,3,5,YNCONDITIONREPONSE,M,1,20,YES/NO CONDITION OR RESPONSE CODE
33,3,5,CODELISTQUAL,O,3,21,CODE LIST QUALIFIER CODE
34,3,5,CODEINDUSTRIE,O,30,24,INDUSTRY CODE
35,3,6,TYPECODETERME,O,2,20,Terms Type Code
36,3,6,CODEDATEBASETERME,O,2,22,Terms Basis Date Code
37,3,6,POURCENTAGETERME,O,6,24,Terms Discount Percent
38,3,6,DATEDUEESCOMPTE,O,8,30,Terms Discount Due Date
39,3,6,NBJOURNET,O,3,38,Terms Net Days
40,3,6,MONTANTESCOMPTE,O,10,41,Terms Discount Amount
41,3,6,DESCRIPTIONTERME,O,80,51,Description
42,3,6,DATENET,O,8,131,Terms Net Due Date
43,3,6,NBJOURESCOMPTE,O,3,139,Terms Discount Days Due
44,3,6,JOURDUMOIS,O,2,142,Day of Month
45,3,6,DEFERREDDUEDATE,O,8,144,Terms Deferred Due Date
46,3,6,POURCENTAGEPAYABLE,O,5,152,Percent of Invoice Payable
47,3,7,TYPEDATE,M,3,20,Date/Time Qualifier
48,3,7,DATE,M,8,23,Date
49,3,7,HEURE,O,8,31,Time
50,3,8,METHODEPAIEMENT,M,2,20,Shipment Method of Payment
51,3,8,FOBQUALLOC,O,2,22,Location Qualifier
52,3,8,LOCDESCRIPTION,O,80,24,Description
53,3,8,FOBQUALLOC2,O,2,104,Location Qualifier
54,3,8,LOCDESCRIPTION2,O,80,106,Description
55,3,9,CODEIDMESURE,M,2,20,Measurement Reference ID Code
55,3,9,VALEURMESURE,M,20,22,Measurement Value
