externalid,DocumentId,Group ID,Name,FirstSegment
1,5,1,SYS,1
2,5,1,IB_ENTETE,0
3,5,1,IB_REF,0
4,5,1,IB_DATE,0
5,5,1,IB_SOMMAIRE,0
6,5,2,IB_NOM,1
7,5,2,IB_NOM_SUP,0
8,5,2,IB_ADRESSE_SUP,0
9,5,2,IB_NOM_LOC_GEO,0
10,5,2,IB_REFERENCE_NOM,0
11,5,3,IB_COM_CONTACT,1
12,5,3,IB_ENTITE_COM,0
13,5,4,IB_ITEM,1
14,5,4,IB_ITEM_PRIX,0
15,5,4,IB_ITEM_DESC,0
16,5,4,IB_ITEM_DATES,0
17,5,4,IB_DESTINATIONQTE,0
18,5,4,IB_ITEM_PHYS_DET,0
19,5,4,IB_ITEM_SCHEDULE,0
20,5,4,IB_CODE_PRODUIT,0
21,5,4,IB_ITEM_REF,0
22,5,5,IB_QTY_INFO,1
23,5,5,IB_QTY_DATE,0
